structure_lambda,n_scenarios,nominal_coverage,coverage_mean,coverage_ci_low,coverage_ci_high,delta_coverage_mean,delta_coverage_ci_low,delta_coverage_ci_high,marginal_failure_mean,marginal_failure_ci_low,marginal_failure_ci_high
0.0,50.0,0.9,0.9531164,0.9523823999999999,0.9538664499999999,0.0,0.0,0.0,0.0,0.0,0.0
0.25,50.0,0.9,0.948018,0.9467395100000001,0.9492708100000001,-0.005098399999999968,-0.00613366999999996,-0.004136269999999971,0.0,0.0,0.0
0.5,50.0,0.9,0.9419160000000001,0.9393295700000001,0.94443802,-0.011200399999999966,-0.013574739999999955,-0.008933909999999969,0.0,0.0,0.0
0.75,50.0,0.9,0.935294,0.93120893,0.9394445000000001,-0.017822399999999967,-0.02181967999999996,-0.014092729999999963,0.032,0.008,0.064
1.0,50.0,0.9,0.9296616,0.92389542,0.93546489,-0.023454799999999963,-0.02911319999999996,-0.01787798999999997,0.12,0.048,0.2080499999999993
