structure_lambda,n_scenarios,nominal_coverage,worst_class_coverage_mean,worst_class_coverage_ci_low,worst_class_coverage_ci_high,delta_worst_class_coverage_mean,delta_worst_class_coverage_ci_low,delta_worst_class_coverage_ci_high,worst_class_failure_mean,worst_class_failure_ci_low,worst_class_failure_ci_high,mean_set_size_mean,mean_set_size_ci_low,mean_set_size_ci_high,delta_set_size_mean,delta_set_size_ci_low,delta_set_size_ci_high,G_Aplus_mean,G_Aplus_ci_low,G_Aplus_ci_high,d_T_fro_mean,d_T_fro_ci_low,d_T_fro_ci_high,d_M_fro_mean,d_M_fro_ci_low,d_M_fro_ci_high,d_V_fro_mean,d_V_fro_ci_low,d_V_fro_ci_high
0.0,50.0,0.9,0.931056,0.92957112,0.9325201200000002,0.0,0.0,0.0,0.006000000000000001,0.0,0.016,1.66764,1.65466137,1.68129509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,50.0,0.9,0.9061936,0.9006268399999999,0.9115176,-0.02486239999999996,-0.029673719999999956,-0.020279439999999968,0.3559999999999999,0.26395000000000024,0.45400000000000007,1.7032340000000001,1.6855662199999997,1.7217041499999999,0.035593999999999994,0.0232259,0.04915152999999996,0.030376571843810637,0.026236124261713876,0.03468064231049899,0.07354322629944873,0.06982137761843928,0.07728087757816093,0.09077375704161979,0.08489216225719766,0.09667305292119031,0.16856241828217985,0.15770112076299878,0.17954831232479712
0.5,50.0,0.9,0.8788079999999999,0.8691696,0.8879624,-0.052247999999999954,-0.06123583999999995,-0.04316147999999997,0.63,0.518,0.7340499999999993,1.7702712,1.74782772,1.7936344499999999,0.10263119999999998,0.08412794,0.12216254999999994,0.059569508924679965,0.05146014016911014,0.06777316542014428,0.14708645259889752,0.13974261710307476,0.15425785014025536,0.17999765132422887,0.16846343451063847,0.19117286205084605,0.33666413245204185,0.31631165436699704,0.3573847154384091
0.75,50.0,0.9,0.8532288,0.84020144,0.86579208,-0.07782719999999997,-0.09051711999999995,-0.06544695999999998,0.8,0.7080000000000001,0.882,1.8226852,1.79862891,1.8472465100000002,0.15504519999999997,0.13377463,0.17627125999999999,0.08799797376103932,0.07511699952567209,0.10091952386697993,0.2206296788983463,0.209346652893233,0.23131921230265326,0.2694904107619142,0.2522617911212946,0.2864831345445352,0.5054444898657776,0.47421888541578283,0.5373034390429424
1.0,50.0,0.9,0.8302576,0.81324128,0.846845,-0.10079839999999995,-0.11740883999999997,-0.08486831999999996,0.868,0.7859999999999999,0.938,1.8723508000000002,1.84460595,1.90053861,0.20471079999999994,0.17882801999999992,0.23043429999999998,0.11549296082385156,0.09726037222202115,0.13403394376824723,0.29417290519779515,0.2797696594975387,0.3086779686462352,0.36113590189337835,0.3383212540985408,0.38418889256658845,0.6761571572796469,0.6322614493354272,0.7175030653801693
