structure_lambda,n_scenarios,nominal_coverage,coverage_mean,coverage_ci_low,coverage_ci_high,delta_coverage_mean,delta_coverage_ci_low,delta_coverage_ci_high,marginal_failure_mean,marginal_failure_ci_low,marginal_failure_ci_high
0.0,50.0,0.9,0.9535328000000001,0.9527032000000001,0.9543300399999999,0.0,0.0,0.0,0.0,0.0,0.0
0.25,50.0,0.9,0.9493744000000001,0.9482635700000001,0.95053442,-0.00415839999999997,-0.005136009999999961,-0.0031899399999999736,0.0,0.0,0.0
0.5,50.0,0.9,0.9444892000000001,0.9423834100000001,0.94647053,-0.009043599999999968,-0.01109642999999996,-0.007040739999999975,0.0,0.0,0.0
0.75,50.0,0.9,0.9392056,0.93576598,0.9425168999999999,-0.014327199999999969,-0.01778842999999997,-0.010916219999999975,0.006000000000000001,0.0,0.016
1.0,50.0,0.9,0.9347632,0.92979175,0.9393844300000002,-0.018769599999999963,-0.023685339999999958,-0.013974639999999983,0.068,0.022000000000000002,0.12399999999999999
