structure_lambda,n_scenarios,nominal_coverage,worst_class_coverage_mean,worst_class_coverage_ci_low,worst_class_coverage_ci_high,delta_worst_class_coverage_mean,delta_worst_class_coverage_ci_low,delta_worst_class_coverage_ci_high,worst_class_failure_mean,worst_class_failure_ci_low,worst_class_failure_ci_high,mean_set_size_mean,mean_set_size_ci_low,mean_set_size_ci_high,delta_set_size_mean,delta_set_size_ci_low,delta_set_size_ci_high,G_Aplus_mean,G_Aplus_ci_low,G_Aplus_ci_high,d_T_fro_mean,d_T_fro_ci_low,d_T_fro_ci_high,d_M_fro_mean,d_M_fro_ci_low,d_M_fro_ci_high,d_V_fro_mean,d_V_fro_ci_low,d_V_fro_ci_high
0.0,50.0,0.9,0.93096,0.92960636,0.9322993200000002,0.0,0.0,0.0,0.004,0.0,0.01,1.6789327999999997,1.6615878800000004,1.69616976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,50.0,0.9,0.9110608,0.90632152,0.915576,-0.019899199999999964,-0.02416159999999996,-0.015723119999999965,0.304,0.22200000000000003,0.392,1.706998,1.68665598,1.72610412,0.02806519999999999,0.018792889999999993,0.03771976999999997,0.02771827990641161,0.024420512073981902,0.031032366546148705,0.06911613606991497,0.06433437092996563,0.07372411949915958,0.08396928380695394,0.07766959689871096,0.09004174276543718,0.15471819833611908,0.1430186068793194,0.16601476086144373
0.5,50.0,0.9,0.8870543999999999,0.87913072,0.8950164799999999,-0.04390559999999995,-0.05176019999999996,-0.03662815999999997,0.596,0.49200000000000005,0.6960499999999993,1.7636903999999998,1.74015632,1.78706868,0.08475759999999997,0.06870580999999998,0.10156910999999996,0.053748142185247365,0.0469702376136413,0.06057643891413311,0.13823227213983,0.1289468384155654,0.14761764526703808,0.1664987945112712,0.15403379933308106,0.1789017008725004,0.30852587780049917,0.28546177670556044,0.3312417486860822
0.75,50.0,0.9,0.8635056,0.8525971200000001,0.8738791199999999,-0.06745439999999996,-0.07846559999999995,-0.057023959999999964,0.7959999999999999,0.7140000000000001,0.872,1.8253312000000002,1.79766224,1.8531874799999999,0.14639839999999998,0.12133743,0.17247934999999995,0.07921658945188054,0.06883074316184207,0.09032155275333985,0.207348408209745,0.19312842303254896,0.22126742440461616,0.24894375826823342,0.2304175902848949,0.2669696193124116,0.46206178374925855,0.4286205150676097,0.4954331232151456
1.0,50.0,0.9,0.8426927999999999,0.82922212,0.8557232799999999,-0.08826719999999996,-0.10108331999999996,-0.07551035999999997,0.86,0.7879999999999999,0.9259999999999999,1.8817524,1.85073845,1.91471938,0.2028196,0.16791147,0.23521709999999985,0.10305291669335044,0.08834153928791186,0.11864522261344722,0.27646454427966005,0.2571781693766753,0.2949053898013759,0.3327024020647677,0.3080311827294697,0.3558477500491728,0.6160321864326396,0.5699740590977453,0.6611297449140165
